Game,Spurs +/-,Possessions
1,-2,15
1,-1,4
1,9,13
1,5,23
2,3,20
2,-4,9
2,-3,20
2,-6,10
3,2,15
3,3,3
3,12,10
3,9,17
3,4,16
4,-7,19
4,3,8
4,5,18
4,8,13
