Game,Spurs +/-,Possessions
1,0,18
1,3,12
1,-1,4
1,3,13
1,6,12
2,3,18
2,6,11
2,0,16
2,5,11
3,-11,21
3,2,13
3,1,12
3,-1,19
4,4,14
4,4,14
4,7,15
4,0,19
5,-4,17
5,10,12
5,-3,22
5,1,15
