Game,Spurs +/-,Possessions
1,-4,8
1,6,3
1,-1,2
1,-1,2
2,2,9
2,-3,2
2,1,11
2,0,1
3,3,5
3,0,0
3,-5,8
4,-8,8
4,0,1
4,-4,9
4,0,1
5,0,9
5,1,6
